run_id,sequence_name,alpha,beta,gamma,theta_threshold,activation_function,rmse_quaternions,rmse_euler_angles
31080e2cfd0d8889c57457f5e8e35854,MH_05_difficult,0.7,0.8,1.0,0.2,double_exponential_sigmoid,"[0.012687498306072308, 0.01574443098944574, 0.024018977718693227, 0.009659511434396438]","[5.09860803375936, 0.7268023302020108, 1.8657133545889382]"
a27b464c6c3d4bff4f9bf50e2f8fcfab,MH_03_medium,0.7,0.8,1.0,0.23,double_exponential_sigmoid,"[0.007968947196224808, 0.008703558309372013, 0.007301823185376677, 0.007585251205739957]","[2.636205872312136, 1.0169361936004093, 2.390984269776103]"
056590b6afad1229c70b577bbb67ba3e,MH_04_difficult,0.7,0.8,1.0,0.23,double_exponential_sigmoid,"[0.01616252956322127, 0.012144642198128677, 0.018699676284045945, 0.007089250982814779]","[3.618128347920495, 0.6383987872770184, 2.2969805802859145]"
0ff735027ba6ebdb08a7e4256eba7896,MH_05_difficult,0.7,0.8,1.0,0.23,double_exponential_sigmoid,"[0.011497150170555961, 0.014778529092990163, 0.022083292798389345, 0.008933240342129662]","[4.798697858071582, 0.7230850091098822, 1.8632900205122094]"
b6eb94961f1261427c86a64277c59de0,MH_03_medium,0.7,0.8,1.0,0.25,double_exponential_sigmoid,"[0.007962220915141188, 0.008759737794222849, 0.007265076077168568, 0.0075434620825391135]","[2.656116381978974, 1.0157773883452093, 2.39696022702871]"
ab975e7745dea226515124b2f8244577,MH_04_difficult,0.7,0.8,1.0,0.25,double_exponential_sigmoid,"[0.017210386260248692, 0.012566056992727644, 0.019990075743825383, 0.007487512975867586]","[3.7373066175549585, 0.6353391228620057, 2.324707710061005]"
aa08cdf7d4e5213bfe87cbd7b9697de7,MH_03_medium,0.7,0.8,1.0,0.28,double_exponential_sigmoid,"[0.007911410493424451, 0.008806430174877554, 0.00721718372180641, 0.007420684481357149]","[2.668911169003602, 1.0124968412160233, 2.387890703481994]"
259e58787e8d6faa1a68485d836c5275,MH_04_difficult,0.7,0.8,1.0,0.28,double_exponential_sigmoid,"[0.0174399666639889, 0.012450762314106653, 0.02013536048399947, 0.007373776255458906]","[3.726173771006953, 0.6365995201911535, 2.3315723805345856]"
9c8fa22eab12bcc5c916885059c86e42,MH_05_difficult,0.7,0.8,1.0,0.28,double_exponential_sigmoid,"[0.01291437808452369, 0.01591685413284245, 0.024427105265235487, 0.009656846975281021]","[5.183321930461358, 0.7249079926370583, 1.8981773374432183]"
8f78bfab02ee13e40e2a47523827f6e7,MH_03_medium,0.7,0.8,1.0,0.3,double_exponential_sigmoid,"[0.008023593002028961, 0.008760886428377702, 0.0073208706841299325, 0.0076835327000837495]","[2.625625731635364, 1.0159799217842298, 2.3871327740203783]"
b39466c8de7c92a9218460ac8a78bcd7,MH_04_difficult,0.7,0.8,1.0,0.3,double_exponential_sigmoid,"[0.01654185923452909, 0.012428083698615823, 0.01928621789324045, 0.007332823231094347]","[3.709271688218571, 0.6369722490530402, 2.329931787958383]"
eaff0b98c88eacf6edbd0b89088210da,MH_05_difficult,0.7,0.8,1.0,0.3,double_exponential_sigmoid,"[0.013349784881586191, 0.016004881188657186, 0.02499745041846645, 0.009822960104284956]","[5.2369143754174905, 0.7271548667725326, 1.8778456074195553]"
9ec09030289c8b0e110f0b05fdfb33e8,MH_03_medium,0.7,0.8,1.0,0.2,triple_exponential_sigmoid,"[0.007977591464553947, 0.00904064719760223, 0.0072883320095365745, 0.00718096866896004]","[2.708838503470727, 1.0109954745781018, 2.3634473217140957]"
2bab9c9c813767f70f471e35f2f3d3c4,MH_04_difficult,0.7,0.8,1.0,0.2,triple_exponential_sigmoid,"[0.019708016283491205, 0.013561361652636656, 0.022936755281305315, 0.00824344228849591]","[3.9904082113691683, 0.6361044422670857, 2.329156803858754]"
d4e0f7085ea49c7740fc531543fd50f0,MH_05_difficult,0.7,0.8,1.0,0.2,triple_exponential_sigmoid,"[0.011715979858217566, 0.014963801093241016, 0.02244060486531365, 0.00910014970955709]","[4.850153100385965, 0.7243072456161841, 1.8612697232151427]"
9df8411bd19ebbeaaa552112e20b96b6,MH_03_medium,0.7,0.8,1.0,0.23,triple_exponential_sigmoid,"[0.007872285854412289, 0.008894806055695457, 0.007204861821115913, 0.007247742846084411]","[2.6952310289433137, 1.0120732568654898, 2.3796304866760094]"
88c952e0a52d379d62021836cf3b6698,MH_04_difficult,0.7,0.8,1.0,0.23,triple_exponential_sigmoid,"[0.019017795902111927, 0.013496874410503363, 0.022025796161988676, 0.008162000127808875]","[3.925231897462081, 0.6407427064751129, 2.3379311708798305]"
d01dbfe3bfd37c7718e00c22dde4e119,MH_05_difficult,0.7,0.8,1.0,0.23,triple_exponential_sigmoid,"[0.01246491594181847, 0.015443040945438106, 0.023611333342724992, 0.009420495510824946]","[5.029870032361116, 0.7284822182283076, 1.8736455790992554]"
df244e608a9abb582d371a3e66acf9de,MH_03_medium,0.7,0.8,1.0,0.25,triple_exponential_sigmoid,"[0.007910024846487194, 0.008771679250766527, 0.007253183108954974, 0.00742363133630141]","[2.6456591592646324, 1.0121162933688026, 2.3669626827835732]"
a5e26ad2d63d19791e2880af0b9ce274,MH_04_difficult,0.7,0.8,1.0,0.25,triple_exponential_sigmoid,"[0.01755414526670378, 0.012750948463572791, 0.020496531965973654, 0.007639284976265899]","[3.8032815328214173, 0.6374953262102859, 2.334952073071489]"
771eb62b75bfe910549b7c8974d99368,MH_05_difficult,0.7,0.8,1.0,0.25,triple_exponential_sigmoid,"[0.012187909227578331, 0.015007979930542212, 0.023141161409187146, 0.009138848599381456]","[4.932212002145922, 0.7212866001512797, 1.8565179414444757]"
1580804e37df483b27c1dc87a28d3600,MH_03_medium,0.7,0.8,1.0,0.28,triple_exponential_sigmoid,"[0.007780193040369019, 0.009265632377431833, 0.007313590396287212, 0.00672081879152279]","[2.8192215441345394, 1.0139682147399134, 2.366824170782512]"
b2f9f2ddff6070cd72f978b4d3b37511,MH_04_difficult,0.7,0.8,1.0,0.28,triple_exponential_sigmoid,"[0.018990772200226092, 0.013255053207249581, 0.021891215107258864, 0.00794308902037999]","[3.9040460449174526, 0.6404824558152685, 2.368042011301023]"
